#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           9     3.41768    0.248305   0.0255661
           9     3.65339     0.23369   0.0215093
           9     3.88909    0.186825   0.0196225
           9     4.12479    0.126816   0.0177263
           9     4.36049    0.066001  0.00978375
           9     4.59619   0.0555677   0.0132897
           9      4.8319   0.0501089   0.0100251
           9      5.0676   0.0167635  0.00611003
           9      5.3033   0.0193113  0.00842355
           9       5.539   0.0103667  0.00644233
           9     5.77471 0.000732268 0.000690389
           9     6.01041           0           0
           9     6.24611           0           0
           9     6.48181           0           0
           9     6.71751           0           0
           9     6.95322           0           0
          10    0.117851  0.00505447  0.00300663
          10    0.353553   0.0542974   0.0121828
          10    0.589256    0.126694   0.0180169
          10    0.824958    0.217353   0.0267483
          10     1.06066     0.22756    0.022852
          10     1.29636    0.394341   0.0315889
          10     1.53206    0.463764   0.0292476
          10     1.76777    0.559248   0.0300115
          10     2.00347    0.552794   0.0368785
          10     2.23917    0.600185   0.0351463
          10     2.47487    0.437309   0.0380405
          10     2.71058    0.437233   0.0391387
          10     2.94628    0.411307   0.0296976
          10     3.18198    0.368192   0.0121315
          10     3.41768     0.24652   0.0230717
          10     3.65339     0.22841   0.0199961
          10     3.88909    0.187402   0.0176687
          10     4.12479    0.128671   0.0160505
          10     4.36049   0.0753758   0.0125153
          10     4.59619   0.0578105   0.0121485
          10      4.8319   0.0517157  0.00915042
          10      5.0676    0.022195  0.00753593
          10      5.3033   0.0189325  0.00758971
          10       5.539  0.00933007  0.00588091
          10     5.77471 0.000659041 0.000625222
          10     6.01041           0           0
          10     6.24611           0           0
          10     6.48181           0           0
          10     6.71751           0           0
          10     6.95322           0           0
          11    0.117851  0.00479798  0.00274422
          11    0.353553   0.0612894   0.0129269
          11    0.589256    0.136527   0.0188725
          11    0.824958    0.233274   0.0286659
          11     1.06066    0.244707   0.0264362
          11     1.29636    0.390434   0.0289578
          11     1.53206    0.464359   0.0265948
          11     1.76777    0.547495   0.0294952
          11     2.00347    0.540325   0.0355715
          11     2.23917    0.594425   0.0324199
          11     2.47487    0.419697   0.0384438
          11     2.71058    0.438859   0.0356144
          11     2.94628    0.399426   0.0292783
          11     3.18198    0.375733   0.0131654
          11     3.41768    0.245722   0.0209881
          11     3.65339    0.221574   0.0193115
          11     3.88909    0.187215   0.0160635
          11     4.12479    0.127332   0.0146471
          11     4.36049   0.0756239     0.01138
          11     4.59619   0.0581897     0.01105
          11      4.8319   0.0574124  0.00993481
          11      5.0676    0.028263  0.00896704
          11      5.3033   0.0205932   0.0070791
          11       5.539  0.00848188   0.0054071
          11     5.77471 0.000599129 0.000571247
          11     6.01041           0           0
          11     6.24611           0           0
          11     6.48181           0           0
          11     6.71751           0           0
          11     6.95322           0           0
          12    0.117851  0.00593228  0.00273995
          12    0.353553    0.062323   0.0118909
          12    0.589256    0.142829   0.0183217
          12    0.824958    0.239978   0.0270497
          12     1.06066    0.254512   0.0259878
          12     1.29636    0.394272   0.0267978
          12     1.53206    0.460144   0.0247103
          12     1.76777    0.543142   0.0273565
          12     2.00347    0.530587   0.0339139
          12     2.23917    0.586565   0.0306561
          12     2.47487    0.414356   0.0356092
          12     2.71058    0.435221   0.0328318
          12     2.94628     0.40418   0.0272218
          12     3.18198    0.376067   0.0120726
          12     3.41768    0.243323   0.0193757
          12     3.65339    0.222576   0.0177282
          12     3.88909    0.183474   0.0151543
          12     4.12479    0.120466   0.0149496
          12     4.36049   0.0752224   0.0104388
          12     4.59619   0.0587282   0.0101423
          12      4.8319   0.0647513   0.0115025
          12      5.0676   0.0341912  0.00998896
          12      5.3033   0.0196623  0.00655009
          12       5.539  0.00913671  0.00499601
          12     5.77471   0.0007126 0.000534794
          12     6.01041           0           0
          12     6.24611           0           0
          12     6.48181           0           0
          12     6.71751           0           0
          12     6.95322           0           0
          13    0.117851  0.00620915  0.00254314
          13    0.353553   0.0611446   0.0110345
          13    0.589256    0.141755   0.0169438
          13    0.824958    0.244059   0.0252749
          13     1.06066    0.268778   0.0276286
          13     1.29636    0.393276    0.024755
          13     1.53206    0.470773   0.0249909
          13     1.76777    0.544382   0.0252803
          13     2.00347    0.523366   0.0320647
          13     2.23917    0.574971   0.0304115
          13     2.47487     0.41497   0.0328753
          13     2.71058    0.431611   0.0305041
          13     2.94628    0.409695   0.0256803
          13     3.18198    0.366419   0.0144947
          13     3.41768    0.246083   0.0180806
          13     3.65339    0.218426   0.0168432
          13     3.88909    0.172926   0.0172737
          13     4.12479    0.115024   0.0147567
          13     4.36049   0.0819214   0.0115876
          13     4.59619   0.0618904  0.00984273
          13      4.8319   0.0666667    0.010776
          13      5.0676    0.033392  0.00925249
          13      5.3033   0.0182127  0.00620458
          13       5.539    0.015305  0.00750926
          13     5.77471  0.00107676 0.000605066
          13     6.01041 2.09486e-05 2.01267e-05
          13     6.24611           0           0
          13     6.48181           0           0
          13     6.71751           0           0
          13     6.95322           0           0
          14    0.117851  0.00576953  0.00239918
          14    0.353553   0.0586407   0.0105266
          14    0.589256    0.139076   0.0159439
          14    0.824958    0.244168   0.0234698
          14     1.06066      0.2777   0.0270573
          14     1.29636    0.394814   0.0230345
          14     1.53206    0.477681   0.0241417
          14     1.76777    0.541601    0.023627
          14     2.00347    0.534026   0.0314965
          14     2.23917    0.565531   0.0296683
          14     2.47487    0.414348    0.030533
          14     2.71058    0.422868   0.0295517
          14     2.94628    0.419285    0.025574
          14     3.18198    0.371024   0.0141718
          14     3.41768    0.247409   0.0168377
          14     3.65339     0.20433   0.0207153
          14     3.88909    0.166394   0.0172306
          14     4.12479    0.112519   0.0139136
          14     4.36049   0.0850607   0.0111771
          14     4.59619   0.0604653  0.00924227
          14      4.8319   0.0649899   0.0101359
          14      5.0676   0.0322362  0.00866349
          14      5.3033   0.0191955  0.00583871
          14       5.539   0.0177365  0.00735602
          14     5.77471    0.001669 0.000800857
          14     6.01041  0.00302288  0.00289279
          14     6.24611 0.000793651 0.000764781
          14     6.48181           0           0
          14     6.71751           0           0
          14     6.95322           0           0
          15    0.117851  0.00545025  0.00226038
          15    0.353553   0.0616049   0.0102336
          15    0.589256    0.135646   0.0152453
          15    0.824958    0.247004   0.0220758
          15     1.06066    0.283152   0.0257969
          15     1.29636     0.39793   0.0217087
          15     1.53206    0.488613   0.0248848
          15     1.76777    0.546892   0.0226366
          15     2.00347    0.530559   0.0295869
          15     2.23917    0.552716   0.0303319
          15     2.47487    0.412135   0.0285775
          15     2.71058    0.420842    0.027651
          15     2.94628    0.413065   0.0246139
          15     3.18198    0.369742   0.0132849
          15     3.41768    0.248867   0.0157782
          15     3.65339    0.199847   0.0198134
          15     3.88909      0.1665   0.0160822
          15     4.12479     0.11203   0.0129946
          15     4.36049    0.084488   0.0104466
          15     4.59619   0.0607952    0.008632
          15      4.8319   0.0635004  0.00956897
          15      5.0676   0.0323021  0.00808617
          15      5.3033   0.0202505  0.00554397
          15       5.539    0.018809  0.00694336
          15     5.77471   0.0024183  0.00104054
          15     6.01041  0.00629267  0.00415553
          15     6.24611 0.000900508 0.000721222
          15     6.48181           0           0
          15     6.71751           0           0
          15     6.95322           0           0
          16    0.117851  0.00516068  0.00213757
          16    0.353553    0.060655  0.00963803
          16    0.589256    0.134212   0.0143598
          16    0.824958    0.242031   0.0212489
          16     1.06066    0.281635   0.0242292
          16     1.29636     0.40335   0.0210174
          16     1.53206    0.492123   0.0235757
          16     1.76777    0.554756   0.0225464
          16     2.00347    0.532339   0.0277912
          16     2.23917    0.541677   0.0303786
          16     2.47487    0.419499   0.0277239
          16     2.71058    0.421586   0.0259328
          16     2.94628    0.418896   0.0237564
          16     3.18198    0.358323   0.0166542
          16     3.41768     0.24599   0.0150521
          16     3.65339    0.196351   0.0188811
          16     3.88909     0.16844   0.0151937
          16     4.12479    0.115625   0.0126701
          16     4.36049   0.0841129  0.00980044
          16     4.59619   0.0597222  0.00815892
          16      4.8319   0.0618158  0.00911799
          16      5.0676   0.0314577  0.00762475
          16      5.3033   0.0214631  0.00532843
          16       5.539   0.0214733  0.00700194
          16     5.77471  0.00275054  0.00102718
          16     6.01041  0.00594703  0.00391016
          16     6.24611 0.000963371  0.00067888
          16     6.48181           0           0
          16     6.71751           0           0
          16     6.95322           0           0
          17    0.117851  0.00516148  0.00201184
          17    0.353553   0.0595636  0.00913267
          17    0.589256    0.136454   0.0136891
          17    0.824958    0.238463   0.0202964
          17     1.06066    0.276916   0.0232589
          17     1.29636    0.401592   0.0198545
          17     1.53206    0.494813   0.0223418
          17     1.76777    0.557529   0.0213901
          17     2.00347    0.532311   0.0261564
          17     2.23917    0.534115   0.0295178
          17     2.47487    0.427422   0.0272018
          17     2.71058    0.429075   0.0254659
          17     2.94628    0.419028   0.0223593
          17     3.18198    0.354095   0.0162024
          17     3.41768     0.24802    0.014303
          17     3.65339    0.194675   0.0178446
          17     3.88909    0.166824   0.0143857
          17     4.12479    0.116484   0.0119539
          17     4.36049   0.0837402  0.00923102
          17     4.59619   0.0600602  0.00768598
          17      4.8319   0.0606049  0.00866167
          17      5.0676   0.0302416  0.00727257
          17      5.3033   0.0253909  0.00629842
          17       5.539   0.0206811  0.00663472
          17     5.77471  0.00258875 0.000979419
          17     6.01041  0.00559721  0.00369576
          17     6.24611 0.000906703 0.000641307
          17     6.48181           0           0
          17     6.71751           0           0
          17     6.95322           0           0
          18    0.117851  0.00506839  0.00190222
          18    0.353553   0.0580701  0.00874657
          18    0.589256    0.132692   0.0134356
          18    0.824958    0.236447   0.0192686
          18     1.06066    0.271414    0.022608
          18     1.29636    0.407465   0.0196007
          18     1.53206    0.497337   0.0212427
          18     1.76777    0.567351    0.022343
          18     2.00347     0.53219   0.0247036
          18     2.23917    0.534117   0.0278779
          18     2.47487    0.430205   0.0258325
          18     2.71058    0.425191   0.0243456
          18     2.94628    0.412781   0.0219723
          18     3.18198    0.350832   0.0156273
          18     3.41768    0.257489    0.016345
          18     3.65339    0.193198   0.0169143
          18     3.88909     0.16083   0.0147826
          18     4.12479    0.116627   0.0112906
