#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          16     2.12132      6.7547    0.308908
          16     2.29103     7.47409     0.67357
          16     2.46073     7.97441     1.06607
          16     2.63044     6.92469    0.882687
          16     2.80014     5.99097    0.235159
          16     2.96985     5.39811    0.241265
          16     3.13955     4.58228    0.231198
          16     3.30926     4.15667     0.25256
          16     3.47897     3.45728    0.178811
          16     3.64867     2.95627    0.160219
          16     3.81838     2.34914    0.170246
          16     3.98808     1.92255    0.161099
          16     4.15779     1.59078    0.151151
          16     4.32749     1.09809    0.117428
          16      4.4972    0.885906   0.0848601
          16      4.6669    0.561047   0.0760478
          16     4.83661    0.444328   0.0835419
          16     5.00632    0.986391    0.116655
          17   0.0848528   0.0480294   0.0290888
          17    0.254558    0.388441   0.0721472
          17    0.424264    0.611941   0.0368441
          17     0.59397     1.13156   0.0928803
          17    0.763675     2.26085    0.156979
          17    0.933381     3.12013    0.236989
          17     1.10309     3.86368     0.23499
          17     1.27279     5.07279    0.265365
          17      1.4425      5.6895    0.274472
          17      1.6122     6.27838    0.317332
          17     1.78191     6.84585    0.381488
          17     1.95161     7.14932    0.347002
          17     2.12132      6.8754    0.313429
          17     2.29103     7.50172    0.634515
          17     2.46073     7.91209     1.00518
          17     2.63044     6.91151    0.830863
          17     2.80014     5.98819    0.221343
          17     2.96985     5.37331    0.228344
          17     3.13955     4.50609     0.22981
          17     3.30926      4.1005     0.24387
          17     3.47897     3.43571    0.169589
          17     3.64867     2.93335    0.152424
          17     3.81838     2.40022     0.16772
          17     3.98808      1.9666    0.157532
          17     4.15779     1.60391    0.142829
          17     4.32749     1.15118     0.12193
          17      4.4972    0.888765   0.0799165
          17      4.6669    0.566926   0.0718013
          17     4.83661    0.431382   0.0796244
          17     5.00632    0.992662    0.109961
          18   0.0848528   0.0515278   0.0276823
          18    0.254558    0.397778   0.0687405
          18    0.424264    0.630347   0.0391256
          18     0.59397      1.1421   0.0883161
          18    0.763675     2.26437    0.148298
          18    0.933381     3.19514    0.235393
          18     1.10309     3.81218    0.227507
          18     1.27279     5.13583    0.258002
          18      1.4425      5.6446     0.26287
          18      1.6122     6.30719    0.301008
          18     1.78191     6.84822    0.360301
          18     1.95161     7.11054    0.329884
          18     2.12132     6.95603    0.306212
          18     2.29103     7.44376    0.601905
