#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          18       5.539  0.00299867   0.0013108
          18     5.77471 0.000130114 8.80261e-05
          18     6.01041   0.0026991  0.00238275
          18     6.24611 0.000154321  0.00012725
          18     6.48181 3.63108e-05 3.52878e-05
          18     6.71751  0.00085633 0.000832203
          18     6.95322 0.000223917 0.000217608
          19    0.117851  0.00568455   0.0017355
          19    0.353553   0.0387943   0.0080793
          19    0.589256   0.0870198   0.0124481
          19    0.824958    0.166733   0.0164159
          19     1.06066    0.267094   0.0168251
          19     1.29636    0.341211    0.026732
          19     1.53206    0.418289   0.0372401
          19     1.76777    0.486186   0.0382205
          19     2.00347     0.47273   0.0346728
          19     2.23917    0.643521   0.0512776
          19     2.47487    0.739376    0.121166
          19     2.71058    0.554896   0.0443579
          19     2.94628    0.440354   0.0306195
          19     3.18198    0.329994   0.0218368
          19     3.41768    0.260159   0.0184076
          19     3.65339    0.191391   0.0119137
          19     3.88909    0.149642   0.0140296
          19     4.12479   0.0945161   0.0107884
          19     4.36049   0.0563439  0.00701398
          19     4.59619   0.0439026   0.0088191
          19      4.8319   0.0326912    0.006347
          19      5.0676   0.0404971  0.00680339
          19      5.3033   0.0144536  0.00347289
          19       5.539  0.00298991  0.00124184
          19     5.77471 0.000123266 8.36591e-05
          19     6.01041  0.00255705  0.00226157
          19     6.24611 0.000146199 0.000120811
          19     6.48181 3.43997e-05 3.34822e-05
          19     6.71751  0.00081126 0.000789623
          19     6.95322 0.000212132 0.000206474
          20    0.117851  0.00540033  0.00167184
          20    0.353553   0.0407653  0.00791209
          20    0.589256   0.0851307   0.0119682
          20    0.824958    0.170458   0.0160122
          20     1.06066    0.265743   0.0160379
          20     1.29636    0.340801   0.0253986
          20     1.53206    0.422266   0.0355898
          20     1.76777    0.492015   0.0367513
          20     2.00347     0.47421   0.0329708
          20     2.23917     0.64299   0.0487165
          20     2.47487    0.724469    0.116021
          20     2.71058    0.556332   0.0421632
          20     2.94628     0.43152   0.0303361
          20     3.18198    0.333358   0.0210025
          20     3.41768    0.262508   0.0176364
          20     3.65339    0.198943    0.013501
          20     3.88909    0.144798   0.0141394
          20     4.12479   0.0932544   0.0103225
          20     4.36049   0.0578105  0.00681488
          20     4.59619   0.0417375  0.00863984
          20      4.8319   0.0324483  0.00603429
          20      5.0676   0.0432516  0.00699867
          20      5.3033   0.0156127  0.00348732
          20       5.539  0.00284041  0.00118871
          20     5.77471 0.000117102 7.97028e-05
          20     6.01041  0.00242919   0.0021521
          20     6.24611 0.000138889 0.000114992
          20     6.48181 3.26797e-05 3.18523e-05
          20     6.71751 0.000770697 0.000751183
          20     6.95322 0.000201525 0.000196422
          21    0.117851  0.00526507  0.00159769
          21    0.353553    0.040292  0.00754946
          21    0.589256   0.0875039   0.0116312
          21    0.824958     0.17215   0.0153388
          21     1.06066    0.263738    0.015399
          21     1.29636    0.345282   0.0245813
          21     1.53206    0.423685   0.0339233
          21     1.76777    0.499717   0.0357993
          21     2.00347    0.474546   0.0314025
          21     2.23917    0.638033   0.0466482
          21     2.47487    0.712896    0.111072
          21     2.71058     0.55395   0.0402227
